Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Scientist,-1,"Mandatory Requirement
Education Qualification - Graduate/Post Graduation in Math/Statistics degree from IIT / Any equivalent institute only.
Experience - Overall 10+years IT experience, minimum of 3+years on Python Data Science.
We are looking for a Data Scientist with the skills to discover the actionable and valuable insights in vast amounts of data. Our customers are diverse and we seek Data Scientists who understand that the real challenge is to find the intersection between actual business problems and ML algorithms. Your primary focus will be on helping to identify business problems of high value that can be solved with data science. Your daily work will be applying ML techniques, performing statistical analysis, and building high-quality prediction systems in production environments.
You must be able to apply analytical, statistical, and programming skills to collect, analyze, and interpret large data sets and present the outcomes using various data visualization techniques apt for different kinds of stakeholders.
We have a preference for the Python Data Science stack, and experience and familiarity with one or more of the major cloud infrastructure providers.
· No Of Position – 2
· Experience – 10-15 Years
Skills Required
Key Skills - SQL, Python Data Science Stack (NumPy, SciPy, Pandas, Scikit-learn, Jupyter, IPython), Machine Learning and Statistics, Data Visualization, A/B Testing, Bandit problems, Recommendation systems, Reinforcement learning
Preferred Skills - Familiarity with ML and AI services on leading public cloud providers: Amazon SageMaker, Azure ML Studio / Azure ML Services, Google Cloud ML. Speech-to-text, Text-to-speech, Translation, Image/Video Processing, Chatbots
Roles & Responsibilities
Ability to work independently to apply technical skills to solve a business objective
Exploratory data analysis employing large data sets involving visualization and basic statistical techniques to develop intuitions and identify key variables in data science projects
Data extraction and joining data from multiple sources; SQL is a must; Python preferred
Strong familiarity and experience with Machine Learning algorithms; The Python Data Science stack is mandatory; Regression, Clustering, SVM, Decision Trees, DNNs, Recommendation Algorithms, etc.
Specific experience sought: real-world A/B testing, multi-armed bandit algorithms, causal inference
Ability to read and apply, with guidance, cutting edge Machine Learning research papers to solve business problems
Highly analytical with solid expertise in analysis, math, and statistics. Critical thinking, creativity, and problem-solving skills are essential for success in this role
Job Type: Full-time
Pay: ₹2,000,000.00 - ₹3,000,000.00 per year
Schedule:
Day shift
Flexible shift
Monday to Friday
Education:
Bachelor's (Required)
Experience:
Python Data Science: 3 years (Required)
Industry:
Information Design & Documentation
Work Remotely:
Yes, temporarily due to COVID-19",4.0,"Cambridge Technology Inc.
4.0",Bangalore,-1,1 to 50 Employees,2016,Company - Private,Financial Analytics & Research,Finance,Unknown / Non-Applicable,-1
Data Scientist 1,-1,"Who we are: Fueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPal’s 286 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies.
Job Description Summary: As a Senior Data Scientist at PayPal, you will apply your strategic and analytical skills to major company challenges. You will act as a business consultant to drive recommendations and implement solutions that ultimately impact the bottom line. And you will do it all by collaborating with a global team of colleagues across sales, operations, product, data science, and finance in an environment that values your insight, encourages you to take on new responsibility, promotes continuous learning, and rewards innovation.
Job Description:
Your Day-to-day Will Involve
Using modeling and analytics to understand how business decisions impact our bottom line. This may include assessing risks of new products, determining fraud policies, or identifying inefficiencies in existing operations.
Ensuring the team is delivering on our KPIs by using various data mining and data visualization tools to monitor portfolio performance and identify improvement opportunities
Developing hypotheses and set up your own problem frameworks to test for the best solutions. You will also scope the operational feasibility, lead implementation efforts, and monitor the success of your solutions.
Leveraging data analysis tools and technologies. For example, using machine learning to determine how we identify fraud.
Creating new solutions rooted in empathy and research that assist all customers as they work to better manage their finances.
Collaborating in a team environment. As part of our crew, you will learn to energetically rally diverse groups in pursuit of a common goal.

The Ideal Candidate Is
Innovative & Curious - You have the desire and ability to connect and empathize with our customers. You have an entrepreneurial spirit and get excited about creating new businesses and reinventing current ones. You ask why, explore, and bring your unique perspective to the table.
Analytical & Action-Oriented - You are data driven and outcome focused. You grow comfortable with ambiguity, fueled by a hunger to learn and constantly seeking out new challenges. You have a desire to take action, try new things, and sometimes fail. You persevere but know when to change course and are up for juggling multiple deliverables.
Collaborative & Team-Oriented - You always keep the people around you in the loop and are excited to communicate complex ideas clearly to make sure your co-workers understand the “why” behind their work and their key priorities.
Inclusive - You will empathize with those around you and care about their success, as you bring people together around what’s possible.

Basic Qualifications
Bachelor’s degree or higher in a quantitative field (Business, Math, Economics, Finance, Statistics, Science, Engineering)
At least 2 year of work experience in analysis or consulting
Experience with or willingness to learn tools such as SQL, R, Python, Tableau

We're a purpose-driven company whose beliefs are the foundation for how we conduct business every day. We hold ourselves to our One Team Behaviors, which demand that we hold the highest ethical standards, to empower an open and diverse workplace, and strive to treat everyone who is touched by our business with dignity and respect. Our employees challenge the status quo, ask questions, and find solutions. We want to break down barriers to financial empowerment. Join us as we change the way the world defines financial freedom.

PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities.
We're a purpose-driven company whose beliefs are the foundation for how we conduct business every day. We hold ourselves to our One Team Behaviors which demand that we hold the highest ethical standards, to empower an open and diverse workplace, and strive to treat everyone who is touched by our business with dignity and respect. Our employees challenge the status quo, ask questions, and find solutions. We want to break down barriers to financial empowerment. Join us as we change the way the world defines financial freedom.
PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities.",3.8,"PayPal
3.8",Bangalore,-1,10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),-1
Junior Scientist,-1,"Canary Health Technologies’ builds cutting edge diagnostic sensors that help doctors recognize diseases earlier and help patients be healthier and happier.
We are looking for a Junior Scientist for our Bangalore unit to carry out research objectives that are outlined by the Lead Scientist/ Management. The Junior Research Scientist runs a particular portion of a lab to conduct sponsored research experiments. The ideal candidate will demonstrate in-depth knowledge and problem-solving skills.
Responsibilities:
Working as a part of the team in research laboratory and performing scientific research tasks requiring the application of standard techniques, procedures and criteria.
Setting up the laboratory and equipment’s ensuring proper care in the use and maintenance of equipment and supplies.
Planning and conducting test & experiments according to prescribed methods.
Recording, analysing data using existing tools & techniques, ensuring data integrity, quality control and protocol compliance.
Consult with researchers to analyse problems, recommend technology-based solutions
Analyse large molecular datasets, such as raw microarray data, genomic sequence data, or
proteomics data, Structure analysis of DNA and RNA and Visualization of data for research purposes.
· Literature reviews, Data mining, landscaping & writing reports and reviews.
Design Primers, peptides based on available tools.
Create novel computational approaches and analytics tools as required by research goals.
Supervising junior staff including laboratory technicians.
Ensuring that quality standards are met and developing original solutions to problems.
Liaising with research and production staff.
Keeping up to date with relevant scientific and technical developments and maintains knowledge with respect to relevant state-of-the-art technology.
Skills &Qualifications:
· M.tech/fresh Phd (Biotech, bioinformatics, molecular biology, medicinal biochemistry, Genetic engineering)
Ability to develop and follow research methodology and protocol.
Good hands on experience with molecular biology tools and techniques.
Knowledge of scientific approach and methodologies.
Knowledge of current technological developments/ trends in area of expertise.
Knowledge of scientific research principles, practices and protocols.
Ability to design, organize and coordinate scientific research projects.
Ability to read, understand, follow and enforce safety procedures.
Advanced user of Microsoft Excel and proficiency in other MS Office suite products, eg MS Word, MS Powerpoint.
Familiarity with data query/data management tools is desirable (Access, SQL, Business Objects).
Excellent communication skills in English, both written and spoken.
Self-starter, able to work independently.
Job Type: Full-time
Schedule:
Rotational shift
Experience:
molecular biology tools and techniques: 2 years (Required)
Education:
Doctorate (Required)
Location:
Bengaluru, Karnataka (Required)",-1,"BreathX Technologies Inc, ( Canary Health Technologies)",Bangalore,-1,Unknown,-1,Company - Public,-1,-1,Less than $1 million (USD),-1
Data Scientist II,-1,"Applies intermediate level of subject matter knowledge to solve a variety of common business issues. Works on problems of moderately complex scope. Acts as an informed team member providing analysis of information and limited project direction input. Exercises independent judgment within defined practices and procedures to determine appropriate action. Follows established guidelines and interprets policies. Evaluates unique circumstances and makes recommendations.
Responsibilities
Mines data using modern tools and programming languages.
Defines and implements models to uncover patterns and predictions creating business value and innovation.
Works with project team to understand problem statements, initiates and direction.
Tells stories with the data using visualization tools/methods to demonstrate insight impact.
Assures accuracy, integrity, and compliance of cleansed data.
Maintains proficiency within the data science domain by keeping up with technology and trend shifts.
Collaborates and communicates with project team regarding project progress and issue resolution and suggests changes or improvements.
Knowledge & Skills
Using statistics, mathematics, algorithms and programming languages.
Ability to apply analytical and problem-solving skills.
Understanding of disparate unstructured and structured data in a distributed environment.
Solid grasp of structured and unstructured data and modern data transformation methodologies
Ability to create models to pull valuable insights from data.
Create stories and visualizations to describe and communicate data insights.
Strong analytical and problem-solving skills.
Creative.
Excellent written and verbal communication skills; mastery in English and local language.
Ability to effectively communicate data insights negotiate options.
Scope & Impact
Collaborates with peers, junior engineers, data scientists and project team.
Typically partners with high-level Individual Contributors and Managers.
Supports projects requiring data engineering solutions expertise.
Education & Experience
Bachelor's or Master's degree in Mathematics, Economics, Physics, Computer Science, or equivalent.
Typically 2-4 years’ experience including graduate or postgraduate research.",4.1,"HP
4.1",Bangalore,-1,10000+ Employees,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
Data Scientist,-1,"JOB DESCRIPTION Roche is looking for a Data Scientist to join our Data Engineering and Artificial Intelligence team. We are looking for a Data Scientist who can use their Machine Learning, Deep Learning, Data Wrangling and Presentation skills to help deliver insights for our most difficult questions. You will work with the rest of the team to enable roche to continue its journey of data maturity, delivering outputs while educating others. You will be helping to solve some of the biggest question at Roche and for healthcare in general. Are you looking for a patient-focused, innovation-driven company that will inspire you and empower you to shine? Join us as a Data Scientist in our company. POSITION OBJECTIVES:  Apply machine learning, deep learning and other advanced techniques while performing Data Analysis engagements. This is against structured and un-structured data sets, at small and large scale.  Independently perform complex analysis using modern Data Science techniques against structured or unstructured data to generate insights.  Provide mentorship to other Data Engineers, Data Scientists and Data Specialists across R&D and Vaccines at Takeda as we elevate our data IQ across the organization.  Deliver critical analysis against Roches toughest data problems to give us critical insight to the organizations largest questions. POSITION ACCOUNTABILITIES:  Perform machine learning, deep learning and other advanced data techniques at a level of quality that can be defended to peers across organizations.  Introduce novel and state-of-the-art computational techniques to other teams and scientists to improve capabilities for data analysis with the purpose of deriving better insights from available datasets.  Understanding and usage of different Supervised and Unsupervised learning techniques, their biases, how and when to apply them and which methods are the best for a particular analysis.  Ability to wrangle raw data sets into a format that can have advanced methods applied against the resulting data.  Work independently to solve difficult technology and data problems.  Demonstrate usage of advanced tooling and techniques to other technical organizations throughout the company. EDUCATION, BEHAVIORAL COMPETENCIES AND SKILLS: Required  Bachelor,Masters Degree or PhD in Computer Science, Data Science or equivalent  1-3+ years experience or a PhD and relevant project / coursework  Expertise with the Application of Machine Learning and / or Deep Learning  Up-to-date knowledge of data wrangling and analysis technologies  Experience with Spark  Ability to manipulate voluminous data with different degree of structuring across disparate sources to build and communicate actionable insights for internal or external parties  Possesses strong personal skills to portray information  Ability to work in an agile and rapid changing environment with high quality deliverables  Experience with two of the following languages: Python, R, Java or Scala  Experience with deep learning frameworks: TensorFlow, MX Net  Working knowledge of SQL and NoSQL datastores Preferred  Experience in a scientific environment  Experience with Reinforcement Learning  Spss WHAT Roche CAN OFFER YOU:  401(k) with company match and Annual Retirement Contribution Plan  Health & Wellness programs including onsite flu shots and health screenings  Generous time off for vacation and the option to purchase additional vacation days  Community Outreach Programs
Job Types: Full-time, Volunteer
Salary: From ₹650,000.00 per year
Benefits:
Cell phone reimbursement
Health insurance
Internet reimbursement
Life insurance
Schedule:
Day shift
Supplemental Pay:
Commission pay
Joining bonus
Overtime pay
Performance bonus
Quarterly bonus
Shift allowance
Yearly bonus
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Yes, temporarily due to COVID-19",4.2,"Roche Pharmaceuticals
4.2",Mumbai,-1,10000+ Employees,1896,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1
Data Scientist II,-1,"Innovate to solve the world's most important challenges
Key responsibilities -
Implementation of scalable deep learning solutions for image and video processing
Build and deploy computer vision solutions on edge/cloud
Understand business requirements and propose suitable solutions
Evaluation of performance of various models/frameworks and tune existing models for various business needs
Explore, devise and implement DL algorithm stack
Experiment, prototype and finalize specific solution with the best business metrics
Design and implement architecture/tech stack for data integration, data flow and data storage for DL solutions
Collaborate with product teams across the organization for deployment and integration of AI solutions in existing products
Deliver production quality, modular, reproducible code in Python

Requirements –
Solid understanding of statistics, probability, ML and DL
Experience in usage of toolkits like OpenVINO, OpenCV, Yolo and frameworks like TensorFlow, Caffe, Keras, etc.
Experience in object detection, object recognition, image retrieval, transformation, segmentation, classification, video compression, optimization
A minimum of 2 years of experience in developing and deploying end-to-end AI solutions in production environment
Exposure to various architectures of deep learning networks – CNN, RNN, LSTM
Deep expertise in any specific application of ML and DL
Familiarity with testing and data validation frameworks
A go-getter attitude with a drive for execution
Good to have –
Edge AI deployment experience
Experience with immersive technologies – AR, VR

HTSIND2020
Additional Information
JOB ID: HRD105903
Category: Engineering
Location: Devarabisanahalli Village, KR Varturhobli,,East Taluk - Phase I,Bangalore,KARNATAKA,560103,India
Exempt",3.7,"Honeywell
3.7",Bangalore,-1,10000+ Employees,1885,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),-1
Senior Data Scientist,-1,"Job Summary
Job Requirements as per the below knowledge:
1. YOLO
2. Image Processing
3. Face Detection
4. Machine Learning / Deep Learning
5. OpenCV
6. Python
Required Experience and Qualifications
We have multiple job opening for freshers and also experienced in the same profile, having same skill sets.
Job Type: Full-time
Salary: ₹30,000.00 - ₹50,000.00 per month
Schedule:
Day shift
Experience:
face detection: 1 year (Required)
artificial intelligence: 1 year (Required)
image processing: 1 year (Required)
Education:
Bachelor's (Required)
Benefits:
Provident fund (PF)
Phone / Internet reimbursement
Industry:
Software Development
Work Remotely:
No",4.3,"Greentech Industries (INDIA) Pvt Ltd
4.3",Kalkaji,-1,501 to 1000 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
Food Scientist,-1,,-1,Valcore Foods,Mohali,-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,-1,"No Relocation Assistance Offered
# 93100 - Mumbai, Maharashtra, India

What is the PURPOSE of your role?

This role is encouraged to apply strong expertise in artificial intelligence through use of machine learning, data mining, and information retrieval to design, prototype and build next generation sophisticated analytics engines and services. This role will work to define the technical problem statement and hypothesis to test; develop efficient and accurate analytical models that mimic business decisions and incorporate them into analytical data products or tools with the support of a multi-functional team.

Core responsibilities of this role
To Work with translators to identify business problems that can be addressed by analytics
Participates in diagnostic & use case roadmap creation
Optimally communicate the analytics approach and how it will meet and address objectives to business partners
Advocate and educate on the value of data driven decision making focusing on the “how and why” of solving problems
Defines data lifecycles, including data sources, frequency and process for ongoing model upgrades
Collaborates with the team to shape use cases and guide them towards defining data standards and identifying new data sources
Integrating work into applications and tools with data engineers, business leads, analysts and developers
Create repeatable, interpretable, dynamic and scalable models that are seamlessly incorporated into analytic data products
Engineer features by using your business acuity that will improve analytical models and are easy to interpret
Explains principles and approaches to senior management in a non-technical manner
Demonstrated ability to plan model upgrades with takeaways from field
Takes an active role in crafting analytical (e.g., code libraries) and data (e.g., external or partnership based data) assets
What expertise are we looking for?
Must have
Academics: Bachelor’s in Data Science, Computer Science, Engineering, Statistics
Prior Experience:
Minimum 2+ years’ experience in programming Languages - Python and/or R
Must have experience in running use cases in the sales analytics/ eCommerce domain

Technology Expertise
We need SQL implementations (PostgreSQL, MySQL, Oracle, DB2)
We need basic proficiency on ML techniques - clustering, decision tree learning, naïve Bayes, support vector machines, Q-learning, temporal difference, adversarial networks, and neural networks
Basic proficiency of data visualization techniques & tools - Visualizing sophisticated insights using Plotly, matplotlib, ggplot2, etc.; experience with dash boarding tools desired (e.g., Shiny, Dash, Tableau)
Should have some familiarity with data engineering tools & techniques.
To build data pipeline on GCP
Frameworks including TensorFlow, Theano, CNTK, scikit-learn, Caffe, Keras, Spark MLlib
Statistical Tools & Concepts:
Good understanding of statistical concepts including descriptive analysis, experimental design, Bayesian statistics, sub-setting, and regression.
Data mining techniques including generalized linear model/regression, random forest, boosting, trees, text mining, social network analysis, dimensionality reduction algorithms

Equal Opportunity Employer
Colgate is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity, sexual orientation, national origin, ethnicity, age, disability, marital status, veteran status (United States positions), or any other characteristic protected by law.
Are you interested in working for Colgate-Palmolive? You can apply online and attach all relevant documents such as a cover letter and resume or CV. Applications received by e-mail are not considered in the selection process. Become part of our team. We look forward to your application.
Colgate-Palmolive is a leading global consumer products company, tightly focused on Oral Care, Personal Care, Home Care and Pet Nutrition. Colgate sells its products in over 200 countries and territories around the world under such internationally recognized brand names as Colgate, Palmolive, elmex, Tom’s of Maine, Sorriso, Speed Stick, Lady Speed Stick, Softsoap, Irish Spring, Protex, Sanex, Elta MD, PCA Skin, Ajax, Axion, Fabuloso, Soupline and Suavitel, as well as Hill’s Science Diet and Hill’s Prescription Diet.
For more information about Colgate’s global business, visit the Company’s web site at http://www.colgatepalmolive.com. To learn more about Colgate Bright Smiles, Bright Futures® oral health education program, please visit http://www.colgatebsbf.com. To learn more about Hill's and the Hill’s Food, Shelter & Love program please visit http://www.hillspet.com. To learn more about Tom’s of Maine please visit http://www.tomsofmaine.com.
Reasonable accommodation during the application process is available for persons with disabilities. Please contact Application_Accommodation@colpal.com with the subject ""Accommodation Request"" should you require accommodation.",4.2,"Colgate-Palmolive
4.2",Mumbai,-1,10000+ Employees,1806,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),-1
Data Scientist,-1,"Responsibilities
Understanding business objectives and developing models that help to achieve them, along with metrics to track their progress
Managing available resources such as hardware, data to ensure the deadlines are met
Analyzing the ML algorithms that could be used to solve a given problem and ranking them by their success probability
Exploring and visualizing data to gain an understanding of it, then identifying differences in data distribution that could affect performance when deploying the model in the real world
Verifying data quality, and/or ensuring it via data cleaning
Supervising the data acquisition process if more data is needed
Finding available datasets online that could be used for training
Defining validation strategies
Defining the pre-processing or feature engineering to be done on a given dataset
Defining data augmentation pipelines
Training models and tuning their hyper parameters
Analyzing the errors of the model and designing strategies to overcome them
Deploying models to production
Skills
Advanced degree in computer science, math, statistics or a related discipline
Extensive data modelling and data architecture skills
Programming experience in Python, R or Java
Background in machine learning frameworks such as TensorFlow or Keras
Knowledge of Hadoop or another distributed computing systems
Experience working in an Agile environment
Advanced math skills (linear algebra, Bayesian statistics, group theory)
Strong written and verbal communication
Job Type: Full-time
Salary: ₹800,000.00 - ₹1,200,000.00 per year
Schedule:
Day shift
Education:
Secondary(10th Pass) (Preferred)",-1,Muthoot Micorfin Ltd,Eranakulam,-1,-1,-1,-1,-1,-1,-1,-1
